,gender,race,age,education,church_goer,patriotism,health_insurance,discuss_politics,political_interest,ideology,pid3,pid7,voted,votechoice,obama_muslim,climate_change,cc_caused_by_man,same_sex_wedding,econ_health,birthright_citizenship,build_wall,affirmative_action,corrupt_government,bathroom_policy,gay_marriage,death_penalty,rel_important,rel_daily_guidance,rel_bible_word,rel_attend_church,happy_life
0,1,1,29,9,1,1,1,1,2,99,2,7,1,2,2,2,3,2,5,3,1,3,1,1,3,1,1,3,1,-1,2
1,1,1,26,13,2,1,1,1,1,5,2,6,1,2,1,1,1,1,3,1,1,2,2,1,3,2,2,-1,3,-1,3
2,1,1,23,9,2,2,1,2,3,99,3,3,-2,-2,1,1,3,2,4,2,2,3,4,1,1,1,2,-1,3,-1,1
3,1,1,58,9,1,1,1,1,2,99,0,5,1,2,2,2,2,1,3,3,3,2,4,1,3,1,1,3,1,2,2
4,2,1,38,9,1,1,1,2,3,4,3,3,1,4,1,1,1,2,4,2,2,2,4,2,2,1,1,3,2,-1,2
5,1,1,60,14,1,1,1,1,1,6,0,5,1,2,-8,-8,2,1,4,1,1,2,2,-8,2,2,1,3,2,1,1
6,1,2,58,5,1,1,1,2,3,99,1,1,1,1,-8,1,3,2,4,3,2,2,2,2,1,1,1,3,2,-1,3
7,2,1,56,9,2,1,1,1,2,5,3,4,1,2,1,2,2,1,4,1,1,2,2,2,1,1,1,3,2,-1,2
8,1,6,45,9,1,1,1,1,2,4,3,5,-2,-2,2,2,3,2,3,2,1,2,4,1,1,1,2,-1,3,-1,2
9,2,1,30,10,1,1,1,1,2,3,3,3,1,3,-8,1,3,2,3,3,2,3,4,1,1,2,1,2,2,-1,1
10,2,1,40,7,2,-6,1,-6,-6,99,3,5,-2,-2,-6,1,3,1,4,3,3,2,3,1,1,1,1,3,2,-1,3
11,2,1,86,10,2,-6,1,-6,-6,2,3,3,-2,-2,-6,1,3,1,3,2,2,2,4,1,2,1,1,1,2,-1,3
12,1,5,30,13,2,1,1,1,1,4,5,5,1,3,2,2,1,2,3,2,2,3,4,-8,1,2,1,1,2,-1,3
13,1,1,67,12,1,1,1,1,2,99,1,2,1,2,1,1,3,1,4,1,1,2,3,1,2,1,1,1,2,-1,2
14,2,1,62,14,1,2,1,1,1,2,1,1,1,1,2,1,1,2,2,2,2,1,4,2,1,2,1,3,2,2,2
15,1,1,51,9,2,4,1,1,3,99,1,1,-2,-2,2,1,1,2,5,1,2,2,4,1,2,2,1,-8,2,-1,3
16,1,5,46,14,2,2,1,1,1,2,1,1,1,1,2,1,1,2,2,2,2,1,4,2,1,2,2,-1,3,-1,3
17,1,1,70,13,2,1,1,1,2,6,2,7,1,2,1,1,3,2,4,1,1,2,3,1,1,1,2,-1,3,-1,1
18,2,1,30,14,1,2,1,1,2,3,1,1,1,1,2,1,1,1,2,2,2,3,3,2,1,2,2,-1,2,-1,2
19,2,1,67,10,1,1,1,1,3,99,2,6,1,-2,1,1,3,1,2,3,2,2,4,1,2,1,1,3,1,-1,2
