In which country is your primary residence?,Which of the following age groups best describes you?,What is the highest level of education you've achieved?,Gender: How do you identify? - Selected Choice,The organization I work for is best classified as a:,What is your primary role? - Selected Choice,For how many years have you been in your current role?,What position did you hold prior to this? - Selected Choice,How would you rate your job satisfaction in your current role?,What would cause you to leave your current employer for a new job? Please select the top option besides pay/benefits. - Selected Choice,Which of the following best describes your industry?,Which of the following best describes your current job level?,How many people does your organization currently employ?,What department does your role fall under? - Selected Choice,"Thinking about your current role, what tasks are most time consuming? (Please assign a percentage to each feature based on importance; total must add up to 100). - Data preparation","Thinking about your current role, what tasks are most time consuming? (Please assign a percentage to each feature based on importance; total must add up to 100). - Data cleansing","Thinking about your current role, what tasks are most time consuming? (Please assign a percentage to each feature based on importance; total must add up to 100). - Data visualization","Thinking about your current role, what tasks are most time consuming? (Please assign a percentage to each feature based on importance; total must add up to 100). - Model selection","Thinking about your current role, what tasks are most time consuming? (Please assign a percentage to each feature based on importance; total must add up to 100). - Model training","Thinking about your current role, what tasks are most time consuming? (Please assign a percentage to each feature based on importance; total must add up to 100). - Deploying models","Thinking about your current role, what tasks are most time consuming? (Please assign a percentage to each feature based on importance; total must add up to 100). - Reporting and presentation","Thinking about your current role, what tasks are most time consuming? (Please assign a percentage to each feature based on importance; total must add up to 100). - Other (please indicate)","Does your organization allow the use of open-source software (Python/R libraries such as pandas, NumPy, etc.)?",What kinds of measures or tools does your company use to secure its software supply chains? (Select all that apply). - Selected Choice,How does your organization ensure the open-source packages are secure and meet enterprise security standards? (Select all that apply). - Selected Choice,What roadblocks are preventing your organization's use of open-source? (Select all that apply). - Selected Choice,Does your institution encourage you/your team to contribute code to open-source projects?,How do they encourage you/your team to contribute code to open-source projects?  (Select all that apply). - Selected Choice,Which of the following data science/ML tools are used inside your organization? - AWS Sagemaker,Which of the following data science/ML tools are used inside your organization? - Alteryx,Which of the following data science/ML tools are used inside your organization? - Anaconda,Which of the following data science/ML tools are used inside your organization? - Azure ML Studio,Which of the following data science/ML tools are used inside your organization? - Cloudera CDSW,Which of the following data science/ML tools are used inside your organization? - Comet,Which of the following data science/ML tools are used inside your organization? - DataBricks,Which of the following data science/ML tools are used inside your organization? - Dataiku,Which of the following data science/ML tools are used inside your organization? - DataRobot,Which of the following data science/ML tools are used inside your organization? - Domino,Which of the following data science/ML tools are used inside your organization? - Explorium,Which of the following data science/ML tools are used inside your organization? - GitHub,Which of the following data science/ML tools are used inside your organization? - Google AI Platform,Which of the following data science/ML tools are used inside your organization? - Google BigQuery,Which of the following data science/ML tools are used inside your organization? - Google Colab,Which of the following data science/ML tools are used inside your organization? - H20,Which of the following data science/ML tools are used inside your organization? - IBM Watson Studio,Which of the following data science/ML tools are used inside your organization? - JFrog Artifactory,Which of the following data science/ML tools are used inside your organization? - KNIME,Which of the following data science/ML tools are used inside your organization? - Looker,Which of the following data science/ML tools are used inside your organization? - MLFlow,Which of the following data science/ML tools are used inside your organization? - Nexus Sonotype,Which of the following data science/ML tools are used inside your organization? - PowerBI,Which of the following data science/ML tools are used inside your organization? - RStudio,Which of the following data science/ML tools are used inside your organization? - RapidMiner,Which of the following data science/ML tools are used inside your organization? - SAS,Which of the following data science/ML tools are used inside your organization? - Snowflake,Which of the following data science/ML tools are used inside your organization? - Stack Overflow,Which of the following data science/ML tools are used inside your organization? - Tableau,Which of the following data science/ML tools are used inside your organization? - Weights & Biases,Which of the following data science/ML tools are used inside your organization? - Other (please specify),Has your organization scaled back the use of open-source software in the past year due to concerns around security?,How much control do IT users have over the open-source tools and packages your company uses?,What kinds of measures or tools do you or your institution use to ensure fairness and mitigate bias in data sets and models? - Selected Choice,What kinds of measures or tools do you or your institution use to address model explainability and interpretability? (Select all that apply). - Selected Choice,Where do you conduct most of your model development and training?,Where do you deploy your models into production?,What roadblocks do you face when moving models to a production environment? (Select all that apply). - Selected Choice,"In your opinion, what are the most important skills/areas of expertise missing in the data science/ML area of your organization? (Select all that apply). - Selected Choice",Do you believe the government should play a larger role in strengthening technological innovation and manufacturing in your country?,Which of the following governmental incentives do you support? (Select all that apply).,Attracting and retaining employees has challenged the technology industry more than ever before. How concerned is your organization about the potential impact of a talent shortage?,What are you most concerned about with regard to the current workforce talent shortage? Please select your top three concerns. - Selected Choice,Which of the following steps is your organization taking to address the current workforce talent shortage? (Select all that apply). - Selected Choice,What do you think are the biggest barriers to the successful enterprise adoption of data science? (Select all that apply). - Selected Choice,Which of the following best describes your specialization or field of research?,"What topics, tools, or skills is your institution teaching students of data science and machine learning? (Select all that apply).",How often is bias in AI/ML/data science taught in classes or lectures?,What types of AI/ML/data science bias are taught in classes or lectures? (Select all that apply). - Selected Choice,What types of bias have you personally encountered in your work? (Select all that apply). - Selected Choice,How often are topics related to open-source security taught in classes or lectures?,"What topics, tools, or skills are in covered your courses in preparation for entering the data science/ML field? (Select all that apply).",How often is bias in AI/ML/data science discussed in classes or lectures?,What types of AI/ML/data science bias are covered in your classes or lectures? (Select all that apply). - Selected Choice,What types of bias have you personally encountered in your work? (Select all that apply). - Selected Choice,"In your opinion, what is the biggest obstacle to obtaining the experience required for a career in data science or related fields? - Selected Choice",How often are topics related to open-source security taught in classes or lectures?,What is the ideal setting that you would like to work in? - Selected Choice,How often do you use the following languages? - Python,How often do you use the following languages? - R,How often do you use the following languages? - Java,How often do you use the following languages? - JavaScript,How often do you use the following languages? - C/C++,How often do you use the following languages? - C#,How often do you use the following languages? - Julia,How often do you use the following languages? - HTML/CSS,How often do you use the following languages? - Bash/Shell,How often do you use the following languages? - SQL,How often do you use the following languages? - Go,How often do you use the following languages? - PHP,How often do you use the following languages? - Rust,How often do you use the following languages? - TypeScript,How often do you use the following languages? - Other (please indicate below),What do you value most about open-source technology? (Please assign a percentage to each feature based on importance; total must add up to 100). - Speed of innovation,What do you value most about open-source technology? (Please assign a percentage to each feature based on importance; total must add up to 100). - Most economical option,What do you value most about open-source technology? (Please assign a percentage to each feature based on importance; total must add up to 100). - Most useful tools for my needs,What do you value most about open-source technology? (Please assign a percentage to each feature based on importance; total must add up to 100). - Avoid vendor lock-in,What do you value most about open-source technology? (Please assign a percentage to each feature based on importance; total must add up to 100). - Product quality,What do you value most about open-source technology? (Please assign a percentage to each feature based on importance; total must add up to 100). - Offers security,What do you value most about open-source technology? (Please assign a percentage to each feature based on importance; total must add up to 100). - Other (please indicate),What should an AutoML tool do for data scientists? Please drag answers to rank from most important to least important. (1=most important) - Enable non-experts to train machine learning models,What should an AutoML tool do for data scientists? Please drag answers to rank from most important to least important. (1=most important) - Quickly and efficiently tune very many hyperparameters,What should an AutoML tool do for data scientists? Please drag answers to rank from most important to least important. (1=most important) - Help choose the best model types to solve specific problems,"What should an AutoML tool do for data scientists? Please drag answers to rank from most important to least important. (1=most important) - Speed up the ML pipeline by automating certain workflows (data cleaning, etc.)","What should an AutoML tool do for data scientists? Please drag answers to rank from most important to least important. (1=most important) - Tune the model once performance (such as accuracy, etc.) starts to degrade",What should an AutoML tool do for data scientists? Please drag answers to rank from most important to least important. (1=most important) - Other (please indicate),What do you think is the biggest problem in the data science/AI/ML space today? - Selected Choice,What tools and resources do you feel are lacking for data scientists who want to learn and develop their skills? (Select all that apply). - Selected Choice,How do you typically learn about new tools and topics relevant to your role? (Select all that apply). - Selected Choice,What are you most hoping to see from the data science industry this year? - Selected Choice,What do you believe is the biggest challenge in the open-source community today? - Selected Choice,"Have supply chain disruption problems, such as the ongoing chip shortage, impacted your access to computing resources?"
United States,26-41,Doctoral degree,Male,Educational institution,Data Scientist,1-2 years,Data Scientist,Very satisfied ,More flexibility with my work hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education,Data visualization,It hasn't come up in any discussions or lectures.,Other (please indicate below),"Confirmation bias,Sample bias,Measurement bias,Outlier bias",It hasn't come up in any discussions or lectures,,,,,,,,Frequently,Rarely,Never,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Never,,10,40,40,5,0,5,0,1,3,4,2,5,6,A reduction in job opportunities caused by automation,"Hands-on projects,Mentorship opportunities","Reading technical books, blogs, newsletters, and papers,Free video content (e.g. YouTube)",Further innovation in the open-source data science community,Undermanagement ,No
United States,42-57,Doctoral degree,Male,Commercial (for-profit) entity,Product Manager,5-6 years,,Very satisfied ,More responsibility/opportunity for career advancement,Manufacturing,Manager,"5,001-10,000",Data Science ,10,10,20,30,0,10,20,0,Yes,We create and use custom and proprietary software,We use a managed repository,,Yes,Funding specific to OS project development,Interested In,Plans to Use,Interested In,Plans to Use,Not Interested In,I'm Not Sure,Interested In,Not Interested In,Interested In,I'm Not Sure,I'm Not Sure,Interested In,I'm Not Sure,I'm Not Sure,I'm Not Sure,I'm Not Sure,I'm Not Sure,I'm Not Sure,I'm Not Sure,I'm Not Sure,Not Interested In,Interested In,Plans to Use,Currently Using,I'm Not Sure,I'm Not Sure,Not Interested In,Not Interested In,Plans to Use,Interested In,,"No, we have not scaled back",IT controls about 50% of company open-source tools and packages,We manually assess data sets for fairness and bias,We perform a series of controlled tests to assess model interpretability,In the cloud,On-premises local server,Meeting IT/InfoSec standards,Advanced mathematics,No,More funding for STEM/tech schooling,Slightly concerned,"Recruiting and talent acquisition,Our ability to meet business demands ,Ability to recruit/retain technical talent ",Train current employees,Insufficient investment in data engineering and tooling to enable the production of good models,,,,,,,,,,,,,,Sometimes,Rarely,Frequently,Sometimes,Rarely,Never,Rarely,Sometimes,Never,Frequently,Never,Never,Never,Never,,10,20,20,10,20,20,0,1,3,2,5,4,6,Social impacts from bias in data and models,Tailored learning paths,Free video content (e.g. YouTube),More specialized data science hardware,Public trust,Yes
India,18-25,Bachelor's degree,Female,Educational institution,Data Scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Engineering (mechanical, electrical)","Development languages in addition to Python/R,Probability and statistics,Machine learning,Deep learning,NLP,Advanced mathematics,Ethics in data science/machine learning,Computer vision/image processing,SQL",It hasn't come up in any discussions or lectures.,AI/ML/data science bias is not taught in my classes or lectures,"Algorithmic bias,Prejudice bias,Exclusion bias,Outlier bias","Rarely, only if there is a one-off conversation or question",,,,,,,,Always,,,Sometimes,Always,,,Sometimes,,Always,,,,,,30,5,30,5,25,5,0,3,5,1,4,2,6,A reduction in job opportunities caused by automation,"Hands-on projects,Mentorship opportunities","Reading technical books, blogs, newsletters, and papers,Free video content (e.g. YouTube),Paid online courses (e.g. Coursera, EdX)",Further innovation in the open-source data science community,Undermanagement ,I'm not sure
United States,42-57,Bachelor's degree,Male,Commercial (for-profit) entity,Professor/Instructor/Researcher,10+ years,,Moderately satisfied ,More responsibility/opportunity for career advancement,Retail,C-Suite/Owner,"201-1,000",IT,20,10,20,5,5,20,20,0,Yes,We create and use custom and proprietary software,We use a managed repository,,Yes,Funding specific to OS project development,Interested In,Interested In,Interested In,Interested In,Interested In,Interested In,Interested In,Interested In,Interested In,Interested In,Interested In,Interested In,Interested In,Interested In,Not Interested In,Not Interested In,Interested In,Not Interested In,Interested In,Interested In,Interested In,Interested In,Interested In,Interested In,Interested In,Interested In,Not Interested In,Interested In,,Not Interested In,,"Yes, we scaled back after the Log4j vulnerability",IT controls most company open-source tools and packages,We manually assess data sets for fairness and bias,"We only use low-interpretability models in low-risk scenarios,None currently",Local desktop/workstation,On-premises local server,Re-coding models from Python/R to another language,"Communication skills,Deep learning",No,N/A - none,Moderately concerned,"Employee turnover,Recruiting and talent acquisition,Customer service ",Train current employees,Insufficient talent or headcount in the data science area,,,,,,,,,,,,,,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,,40,10,10,10,20,10,0,2,3,1,5,4,6,Social impacts from bias in data and models,Hands-on projects,"Reading technical books, blogs, newsletters, and papers,Free video content (e.g. YouTube)",New optimized models that allow for more complex computations to be conducted faster,Talent shortage,No
Singapore,18-25,High School or equivalent,Male,,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Probability and statistics,Machine learning,Python,JavaScript,SQL,Go lang ","Sometimes, when there is a specific lecture","Confirmation bias,Sample bias,Outlier bias","Sample bias,Outlier bias",Finding an internship,"Sometimes, when there is a specific lecture",An established startup in growth mode,Frequently,Never,Rarely,Frequently,Always,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,,50,10,20,0,20,0,0,1,5,4,2,3,6,Social impacts from bias in data and models,"Community engagement and learning platforms,Tailored learning paths,Hands-on projects,Mentorship opportunities","Reading technical books, blogs, newsletters, and papers,Free video content (e.g. YouTube),Paid online courses (e.g. Coursera, EdX),Paid university courses,Community platforms and forums",Further innovation in the open-source data science community,Undermanagement ,Yes
United States,26-41,Master's degree,Male,Educational institution,Developer,5-6 years,,Very satisfied ,N/A - I would not leave my current position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biology,"Engineering skills,Probability and statistics,Machine learning,Advanced mathematics,Data visualization,Python,R,JavaScript,SQL","Often, but only during a specific class about ethics. ","Confirmation bias,Algorithmic bias,Sample bias","Confirmation bias,Algorithmic bias,Sample bias","Sometimes, when there is a specific lecture",,,,,,,,Frequently,Sometimes,Sometimes,Frequently,Never,Never,Rarely,Frequently,Frequently,Sometimes,Never,Never,Never,Sometimes,,10,70,0,20,0,0,0,1,4,2,3,5,6,Advanced information warfare ,Tailored learning paths,"Reading technical books, blogs, newsletters, and papers,Community platforms and forums",Further innovation in the open-source data science community,Public trust,I'm not sure
United States,42-57,Master's degree,Male,Commercial (for-profit) entity,Data Scientist,5-6 years,,Very satisfied ,More responsibility/opportunity for career advancement,Media,Director,"5,001-10,000",Data Science ,5,15,10,5,20,20,20,5,Yes,"We create and use custom and proprietary software,We only use source-verified packages",We use a managed repository,,No,,Plans to Use,,Plans to Use,,,,Currently Using,,,Interested In,,Currently Using,Currently Using,Currently Using,Currently Using,Interested In,,,,Currently Using,Interested In,,,,,,Currently Using,Plans to Use,Plans to Use,,,"No, we have not scaled back",IT controls minimal company open-source tools and packages,We evaluate data collection methods according to internally-set standards,We perform a series of controlled tests to assess model interpretability,Local desktop/workstation,In the cloud,"Managing package dependencies and environments,Moving to the cloud,A skills gap in my organization (Data engineering, Docker, Kubernetes, etc.)","Engineering skills,Deep learning,Model deployment",No,More funding for STEM/tech schooling,Slightly concerned,"Employee turnover,Diversity and inclusion hiring objectives ,Ability to recruit/retain technical talent ","Permitting or expanding remote work options,Train current employees,Improve benefits,Increase automation",Insufficient investment in data engineering and tooling to enable the production of good models,,,,,,,,,,,,,,Always,Sometimes,Rarely,Rarely,Never,Never,Never,Rarely,Rarely,Always,Rarely,Rarely,Never,Never,,20,10,30,5,20,15,0,1,4,3,2,5,6,Other (please indicate below),Tailored learning paths,"Reading technical books, blogs, newsletters, and papers,Free video content (e.g. YouTube),Paid online courses (e.g. Coursera, EdX)",Further innovation in vendor-specific data science products,Talent shortage,No
India,18-25,Bachelor's degree,Male,,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Business knowledge,Communication skills,Development languages in addition to Python/R,Engineering skills,Probability and statistics,Business analytics,Big data management,Machine learning,Deep learning,NLP,Advanced mathematics,Data visualization,Ethics in data science/machine learning,Computer vision/image processing,R,SQL,Go lang ,Proprietary tools (ex. Tableau, Google Colab, SAS, MATLAB, etc),All of the above","Frequently, in multiple classes and lectures","Algorithmic bias,Sample bias,Prejudice bias,Measurement bias,Exclusion bias,Outlier bias",Algorithmic bias,Lack of social capital or mentor relationships,"Sometimes, when there is a specific lecture",An established startup in growth mode,Frequently,Sometimes,Frequently,Frequently,Always,Rarely,Never,Frequently,Sometimes,Frequently,Never,Frequently,Never,Never,,15,15,20,10,30,10,0,4,1,3,2,5,6,A reduction in job opportunities caused by automation,"Hands-on projects,Mentorship opportunities","Reading technical books, blogs, newsletters, and papers,Paid online courses (e.g. Coursera, EdX),Paid university courses,Community platforms and forums",More resources given to data science teams within organizations,Security vulnerabilities,No
United States,26-41,Bachelor's degree,Male,Educational institution,Professor/Instructor/Researcher,3-4 years,,Very satisfied ,More access to professional training/development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Computer Science and Engineering (technology),"Communication skills,Development languages in addition to Python/R,Engineering skills,Probability and statistics,Big data management,Machine learning,Deep learning,NLP,Advanced mathematics,Data visualization,Ethics in data science/machine learning,Computer vision/image processing,Computer systems,Python,R,JavaScript,SQL","Frequently, in multiple classes and lectures.","Confirmation bias,Algorithmic bias,Sample bias,Prejudice bias,Measurement bias,Exclusion bias,Outlier bias","Confirmation bias,Sample bias,Measurement bias,Exclusion bias,Outlier bias","Frequently, in multiple classes and lectures",,,,,,,,Always,Always,Rarely,Sometimes,Frequently,Never,Rarely,Rarely,Frequently,Frequently,Rarely,Never,Never,Never,,30,20,40,10,0,0,0,4,2,1,3,5,6,Other (please indicate below),"Tailored learning paths,Hands-on projects,Mentorship opportunities","Reading technical books, blogs, newsletters, and papers,Community platforms and forums",Further innovation in the open-source data science community,Undermanagement ,I'm not sure
Vietnam,26-41,Doctoral degree,Female,Educational institution,Professor/Instructor/Researcher,10+ years,,Moderately satisfied ,More responsibility/opportunity for career advancement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communication,"Communication skills,Data visualization,Ethics in data science/machine learning","Frequently, in multiple classes and lectures.","Algorithmic bias,Prejudice bias","Prejudice bias,Exclusion bias","Rarely, only if there is a one-off conversation or question",,,,,,,,Never,,,,,,,,,,,,,,,10,90,0,0,0,0,0,1,2,4,3,5,6,Lack of diversity and inclusion in the profession,Tailored learning paths,"Reading technical books, blogs, newsletters, and papers,Free video content (e.g. YouTube),Community platforms and forums",New optimized models that allow for more complex computations to be conducted faster,Public trust,No
